phi_deg,RCS_th_dBsm,RCS_ph_dBsm
0,-100,-100
1,-62.4547548350791,-100
2,-44.4235605359147,-100
3,-33.9932520924527,-100
4,-26.8694050531869,-100
5,-21.8662722558001,-100
6,-18.682978584096,-100
7,-17.5718060567541,-100
8,-19.8588200084155,-100
9,-41.4562103601873,-100
10,-18.0906324267318,-100
11,-13.2169393975714,-100
12,-15.36265016946,-100
13,-27.7292176026105,-100
14,-11.6880937548141,-100
15,-12.7907693772259,-100
16,-20.0802983047015,-100
17,-9.24494083223762,-100
18,-20.3353670822182,-100
19,-9.09934767002067,-100
20,-13.3496637578885,-100
21,-8.85105889413435,-100
22,-12.4740052617581,-100
23,-7.26754226987533,-100
24,-17.6884847780484,-100
25,-5.57836394798689,-100
26,-15.6892484512876,-100
27,-7.06021642992339,-100
28,-5.25318164617437,-100
29,-24.4819271699872,-100
30,-5.94092874384632,-100
31,-3.60832566322548,-100
32,-9.57237206582704,-100
33,-13.4534809608976,-100
34,-3.78941597489003,-100
35,-2.0907804829911,-100
36,-4.02090037744425,-100
37,-10.8753275919304,-100
38,-18.9495434123642,-100
39,-6.57154059415522,-100
40,-2.65967171719218,-100
41,-0.83552168725871,-100
42,0.0369927282659808,-100
43,0.439268093988613,-100
44,0.650065702616256,-100
45,0.846151223783893,-100
46,1.124008508143,-100
47,1.50143615696268,-100
48,1.92055276974772,-100
49,2.25583168363158,-100
50,2.31623614433668,-100
51,1.81755809032525,-100
52,0.261504725483727,-100
53,-3.61410005440239,-100
54,-19.0741812884931,-100
55,-4.96920566558598,-100
56,1.838907659042,-100
57,4.58010421114612,-100
58,4.63819153725888,-100
59,0.971260566348111,-100
60,-100,-100
61,2.10287479912962,-100
62,6.39199645355915,-100
63,5.42281044819048,-100
64,-5.97741609246485,-100
65,2.69327028708916,-100
66,8.0123099689293,-100
67,5.70736883645975,-100
68,-11.1916171476957,-100
69,8.07209678738166,-100
70,8.97965170190512,-100
71,-6.62574762070608,-100
72,8.51835803652214,-100
73,10.8104193177217,-100
74,-4.04556866606939,-100
75,10.5356813198722,-100
76,12.1627025445573,-100
77,-24.4193194740226,-100
78,13.7190421787881,-100
79,12.6493913660841,-100
80,6.57816545339113,-100
81,17.045513030815,-100
82,10.3107961337824,-100
83,16.2682568207767,-100
84,19.7769762213333,-100
85,0.941684994199202,-100
86,23.8753241149808,-100
87,21.5304483843004,-100
88,25.8659356219029,-100
89,35.7403514042875,-100
90,49.0538983800686,-100
