phi_deg,RCS_th_dBsm,RCS_ph_dBsm
0,-100,-100
0.1,-99.9997531877654,-100
0.2,-99.9842321547423,-100
0.3,-99.8236941536162,-100
0.4,-99.0911085762524,-100
0.5,-97.2398977103112,-100
0.6,-94.3750439679727,-100
0.7,-91.1425801762819,-100
0.8,-87.9861302131217,-100
0.9,-85.0575407271664,-100
1,-82.3776777025853,-100
1.1,-79.9268138996436,-100
1.2,-77.676764571018,-100
1.3,-75.6006016930289,-100
1.4,-73.6750278036375,-100
1.5,-71.8805012319625,-100
1.6,-70.2007549574319,-100
1.7,-68.6222256967567,-100
1.8,-67.1335428285324,-100
1.9,-65.7251078890333,-100
2,-64.3887589861011,-100
2.1,-63.1175055762861,-100
2.2,-61.9053189463134,-100
2.3,-60.7469660417474,-100
2.4,-59.6378768721952,-100
2.5,-58.574037964589,-100
2.6,-57.5519061179654,-100
2.7,-56.5683380793201,-100
2.8,-55.6205327918177,-100
2.9,-54.705983642405,-100
3,-53.8224387195944,-100
3.1,-52.9678675329503,-100
3.2,-52.1404329805345,-100
3.3,-51.338467606262,-100
3.4,-50.5604533857749,-100
3.5,-49.805004431692,-100
3.6,-49.070852127821,-100
3.7,-48.3568322950201,-100
3.8,-47.6618740650051,-100
3.9,-46.9849901968225,-100
4,-46.3252686175,-100
4.1,-45.6818650059235,-100
4.2,-45.0539962694285,-100
4.3,-44.4409347872949,-100
4.4,-43.8420033154994,-100
4.5,-43.2565704636879,-100
4.6,-42.6840466689822,-100
4.7,-42.1238806025662,-100
4.8,-41.5755559544317,-100
4.9,-41.0385885495209,-100
5,-40.5125237551282,-100
5.1,-39.9969341449612,-100
5.2,-39.4914173899789,-100
5.3,-38.9955943500925,-100
5.4,-38.5091073442118,-100
5.5,-38.0316185790065,-100
5.6,-37.5628087192281,-100
5.7,-37.1023755845633,-100
5.8,-36.6500329598112,-100
5.9,-36.2055095067769,-100
6,-35.7685477676109,-100
6.1,-35.3389032505359,-100
6.2,-34.9163435899214,-100
6.3,-34.50064777357,-100
6.4,-34.0916054308661,-100
6.5,-33.6890161761247,-100
6.6,-33.2926890020885,-100
6.7,-32.9024417190419,-100
6.8,-32.5181004354993,-100
6.9,-32.1394990768165,-100
7,-31.7664789384579,-100
7.1,-31.3988882709693,-100
7.2,-31.0365818939968,-100
7.3,-30.6794208369498,-100
7.4,-30.3272720041332,-100
7.5,-29.9800078623795,-100
7.6,-29.6375061493928,-100
7.7,-29.2996496011845,-100
7.8,-28.9663256971188,-100
7.9,-28.63742642123,-100
8,-28.3128480385765,-100
8.1,-27.9924908855202,-100
8.2,-27.6762591729002,-100
8.3,-27.3640608011704,-100
8.4,-27.0558071866403,-100
8.5,-26.7514130980277,-100
8.6,-26.4507965026114,-100
8.7,-26.1538784213084,-100
8.8,-25.8605827920703,-100
8.9,-25.5708363410411,-100
9,-25.2845684609451,-100
9.1,-25.001711096241,-100
9.2,-24.722198634592,-100
9.3,-24.4459678042448,-100
9.4,-24.1729575769426,-100
9.5,-23.9031090760203,-100
9.6,-23.6363654893598,-100
9.7,-23.3726719869042,-100
9.8,-23.1119756424513,-100
9.9,-22.8542253594699,-100
10,-22.5993718006974,-100
10.1,-22.3473673212933,-100
10.2,-22.0981659053451,-100
10.3,-21.8517231055263,-100
10.4,-21.6079959857312,-100
10.5,-21.3669430665159,-100
10.6,-21.1285242731878,-100
10.7,-20.8927008863979,-100
10.8,-20.6594354950986,-100
10.9,-20.4286919517367,-100
11,-20.2004353295653,-100
11.1,-19.9746318819601,-100
11.2,-19.7512490036343,-100
11.3,-19.530255193655,-100
11.4,-19.3116200201707,-100
11.5,-19.0953140867566,-100
11.6,-18.8813090003073,-100
11.7,-18.6695773403887,-100
11.8,-18.4600926299873,-100
11.9,-18.2528293075843,-100
12,-18.0477627004943,-100
12.1,-17.8448689994057,-100
12.2,-17.6441252340731,-100
12.3,-17.445509250102,-100
12.4,-17.248999686782,-100
12.5,-17.0545759559214,-100
12.6,-16.8622182216355,-100
12.7,-16.6719073810537,-100
12.8,-16.4836250459021,-100
12.9,-16.2973535249272,-100
13,-16.1130758071276,-100
