phi_deg,RCS_th_dBsm,RCS_ph_dBsm
0,29.0538983800604,-100
0.5,60.9149280541891,-53.2892912344973
1,72.7890380661663,-41.248368722423
1.5,79.8025211780202,-34.205093495654
2,84.7907213859027,-29.2081748248708
2.5,88.6639863747966,-25.3327753336547
3,91.8305833886122,-22.167040208579
3.5,94.508879365664,-19.4913718529552
4,96.8293383760449,-17.1747921666301
4.5,98.8760937884236,-15.1329225472309
5,100.706522737638,-13.3082571217391
5.5,102.361460092577,-11.6598884439217
6,103.870956401167,-10.1577227842862
6.5,105.25772609219,-8.77901896757542
7,106.539315408315,-7.50621370813366
7.5,107.729521078253,-6.32549923490119
8,108.839350310079,-5.22586116132047
8.5,109.877689129872,-4.19840886252733
9,110.851779140059,-3.23589791790415
9.5,111.767564828034,-2.33238228996554
10,112.629951203246,-1.4829563498274
10.5,113.442997922235,-0.683560524812556
11,114.210067513547,0.0691670827825264
11.5,114.933939805949,0.778005233302272
12,115.616901027432,1.44523872648778
12.5,116.260813589177,2.07272824144467
13,116.867170878514,2.66196517039639
13.5,117.437140196487,3.2141145862275
14,117.971596121923,3.73004862875331
14.5,118.471145955892,4.21037196568072
15,118.936148424698,4.6554405079036
15.5,119.366726445485,5.06537418427027
16,119.762774449303,5.44006427146063
16.5,120.12396048384,5.77917550173666
17,120.449723057844,6.08214291106077
17.5,120.739262418833,6.34816311949756
18,120.991525649834,6.57617942994673
18.5,121.205184599154,6.76485975945621
19,121.378605178199,6.91256593836979
19.5,121.50980591693,7.01731226716967
20,121.596402765835,7.07671032018605
20.5,121.6355358391,7.0878956912648
21,121.6237718851,7.04743046806659
21.5,121.556973383814,6.951172335416
22,121.430120690618,6.79409672841213
22.5,121.237066496387,6.57005130725865
23,120.970190109338,6.27141026258477
23.5,120.619899025579,5.88857592401652
24,120.173889748797,5.40923964290756
24.5,119.616013951786,4.81724806175075
25,118.924467089047,4.09079191941746
25.5,118.068747040378,3.19936505823999
26,117.004220413157,2.09833146325702
26.5,115.661607723189,0.718412086305837
27,113.924340452745,-1.05695392350814
27.5,111.57180441845,-3.44835306565983
28,108.098897394446,-6.96078689396326
28.5,101.812840645837,-13.2864581892197
29,81.8585813677567,-33.3057666023776
29.5,103.597709167106,-11.5894885258863
30,109.307851044156,-5.92181790848586
30.5,112.724129168825,-2.54943932712923
31,115.141395466776,-0.177109019834106
31.5,116.982821404351,1.61842106381303
32,118.439278536491,3.02804240631655
32.5,119.612256834212,4.15324800204332
33,120.56118565163,5.05346358967639
33.5,121.3228513122,5.76546872465942
34,121.920522017855,6.31252309947239
34.5,122.36862341473,6.70904275686442
35,122.675235586852,6.96309741220112
35.5,122.843387413384,7.07770499527854
